x,y,z,BSSE_A,BSSE_B
0.5,0.5,0.5,0.0017249013589406559,0.0017249013586848605
0.5,0.5,0.75,0.0014019853097266832,0.001401985309641418
0.5,0.5,1.0,0.001069980419458716,0.0010699804196008245
0.5,0.5,1.25,0.0006624761841749205,0.0006624761839191251
0.5,0.5,1.5,0.0005012078679413889,0.0005012078674013765
0.5,0.5,1.75,0.0004387205174509745,0.00043872051725202255
0.5,0.75,0.25,0.0015952049860032957,0.0015952049863017237
0.5,0.75,0.5,0.0014352206765551045,0.0014352206766830022
0.5,0.75,0.75,0.0011939867371211221,0.0011939867367800616
0.5,0.75,1.0,0.0008735498552141507,0.000873549855185729
0.5,0.75,1.25,0.000570771311572571,0.0005707713114020407
0.5,0.75,1.5,0.0004599195902841302,0.00045991958998570226
0.5,0.75,1.75,0.0003804320875246958,0.00038043208732574385
0.5,1.0,0.25,0.0012302040878893195,0.0012302040876761566
0.5,1.0,0.5,0.0011127067807592539,0.0011127067805887236
0.5,1.0,0.75,0.0009003494024852898,0.0009003494026416092
0.5,1.0,1.0,0.000647176047323228,0.000647176047223752
0.5,1.0,1.25,0.0004936788311056262,0.000493678831020361
0.5,1.0,1.5,0.0003959843420773268,0.00039598434180732056
0.5,1.0,1.75,0.00030630781688500974,0.0003063078170839617
0.5,1.25,0.25,0.0009216732163253027,0.0009216732164247787
0.5,1.25,0.5,0.0007927307110833226,0.0007927307109554249
0.5,1.25,0.75,0.0006438495884708573,0.0006438495885134898
0.5,1.25,1.0,0.0005251313207423891,0.0005251313208418651
0.5,1.25,1.25,0.00041721683990658676,0.0004172168397076348
0.5,1.25,1.5,0.00031401167285594056,0.0003140116729696274
0.5,1.25,1.75,0.00022743244184653122,0.000227432441477049
0.5,1.5,0.25,0.0007076216020180937,0.0007076216020323045
0.5,1.5,0.5,0.0006331539919415263,0.0006331539916573092
0.5,1.5,0.75,0.0005355429787243793,0.0005355429784970056
0.5,1.5,1.0,0.0004267048206401114,0.0004267048207395874
0.5,1.5,1.25,0.0003176550268193523,0.0003176550266346112
0.5,1.5,1.5,0.00022223068084770148,0.00022223068071980379
0.5,1.5,1.75,0.00016098365640004886,0.00016098365632899458
0.5,1.75,0.25,0.0005897739175111383,0.0005897739171416561
0.5,1.75,0.5,0.0005024412795648914,0.0005024412792806743
0.5,1.75,0.75,0.00039573082577248897,0.0003957308256019587
0.5,1.75,1.0,0.0002933820508133067,0.00029338205085593927
0.5,1.75,1.25,0.0002042907647279435,0.00020429076455741324
0.5,1.75,1.5,0.0001433501714416252,0.0001433501715979446
0.5,1.75,1.75,0.00012327565744385538,0.00012327565723069256
0.75,0.25,0.25,0.0017860840383718823,0.0017860840383718823
0.75,0.25,0.5,0.0015959969368992688,0.001595996936870847
0.75,0.25,0.75,0.0013206962115077658,0.0013206962118630372
0.75,0.25,1.0,0.0009942910738516275,0.0009942910738232058
0.75,0.25,1.25,0.0006219082489735683,0.0006219082485614535
0.75,0.25,1.5,0.0004855049843968118,0.00048550498415522725
0.75,0.25,1.75,0.0004150415322072831,0.00041504153207938543
0.75,0.5,0.25,0.0015952049862448803,0.0015952049861596151
0.75,0.5,0.5,0.0014352206766545805,0.0014352206763561526
0.75,0.5,0.75,0.0011939867372916524,0.0011939867371211221
0.75,0.5,1.0,0.0008735498552709942,0.0008735498548446685
0.75,0.5,1.25,0.0005707713117999447,0.0005707713110325585
0.75,0.5,1.5,0.00045991959034097363,0.0004599195900425457
0.75,0.5,1.75,0.0003804320877520695,0.00038043208751048496
0.75,0.75,0.25,0.0013182468402703762,0.0013182468400430025
0.75,0.75,0.5,0.0011943982047597501,0.0011943982047881718
0.75,0.75,0.75,0.000982796181247636,0.000982796180750256
0.75,0.75,1.0,0.0006981372017378362,0.0006981372014820408
0.75,0.75,1.25,0.0005118367551517622,0.0005118367549812319
0.75,0.75,1.5,0.00041450049059221783,0.0004145004903506333
0.75,0.75,1.75,0.00032643226504092127,0.00032643226472828246
0.75,1.0,0.25,0.0010541182398640103,0.001054118239608215
0.75,1.0,0.5,0.000922083452564948,0.0009220834524796828
0.75,1.0,0.75,0.0007284515925505275,0.0007284515926784252
0.75,1.0,1.0,0.0005647834541377961,0.0005647834540525309
0.75,1.0,1.25,0.0004515530361288711,0.00045155303598676255
0.75,1.0,1.5,0.00034998858336621197,0.0003499885833235794
0.75,1.0,1.75,0.0002600047895100488,0.0002600047892826751
0.75,1.25,0.25,0.0007888372898605667,0.0007888372901732055
0.75,1.25,0.5,0.0006917399212511555,0.0006917399210664144
0.75,1.25,0.75,0.0005861942445193336,0.000586194244476701
0.75,1.25,1.0,0.00048236212032293224,0.000482362120052926
0.75,1.25,1.25,0.0003725511007530713,0.00037255110110834266
0.75,1.25,1.5,0.0002706071464899651,0.0002706071462625914
0.75,1.25,1.75,0.00019288968584874056,0.00019288968560715603
0.75,1.5,0.25,0.0006685793645431204,0.0006685793641025839
0.75,1.5,0.5,0.0005915682121582222,0.000591568212172433
0.75,1.5,0.75,0.0004868767386909667,0.00048687673861991243
0.75,1.5,1.0,0.00037634835231870056,0.0003763483521197486
0.75,1.5,1.25,0.0002721240497862709,0.0002721240497862709
0.75,1.5,1.5,0.00018686271964440948,0.00018686271947387922
0.75,1.5,1.75,0.00014202533579066312,0.00014202533567697628
0.75,1.75,0.25,0.0005249980538621912,0.0005249980540327215
0.75,1.75,0.5,0.0004364650168326989,0.0004364650169321749
0.75,1.75,0.75,0.0003357961724645975,0.00033579617235091064
0.75,1.75,1.0,0.00024345113678236885,0.00024345113634183235
0.75,1.75,1.25,0.000168521207399408,0.00016852120735677545
0.75,1.75,1.5,0.00012506295308867266,0.00012506295317393779
0.75,1.75,1.75,0.0001163693508203778,0.00011636935076353438
1.0,0.25,0.25,0.0013681703498775732,0.0013681703498775732
1.0,0.25,0.5,0.0012380254630670606,0.0012380254632375909
1.0,0.25,0.75,0.0010249567921789549,0.0010249567919515812
1.0,0.25,1.0,0.0007281361177859935,0.0007281361178002044
1.0,0.25,1.25,0.0005217054901436313,0.0005217054900157336
1.0,0.25,1.5,0.00042372786157329756,0.0004237278617154061
1.0,0.25,1.75,0.00033682053313555116,0.00033682053300765347
1.0,0.5,0.25,0.0012302040879035303,0.0012302040875198372
1.0,0.5,0.5,0.0011127067806171453,0.0011127067805034585
1.0,0.5,0.75,0.0009003494026842418,0.0009003494026416092
1.0,0.5,1.0,0.000647176047124276,0.0006471760472095411
1.0,0.5,1.25,0.0004936788312761564,0.0004936788311908913
1.0,0.5,1.5,0.0003959843419210074,0.000395984341864164
1.0,0.5,1.75,0.0003063078169986966,0.0003063078172402811
1.0,0.75,0.25,0.0010541182399208537,0.001054118239892432
1.0,0.75,0.5,0.0009220834525365262,0.0009220834524086285
1.0,0.75,0.75,0.0007284515928773772,0.0007284515927636903
1.0,0.75,1.0,0.0005647834540809527,0.0005647834536972596
1.0,0.75,1.25,0.0004515530361004494,0.0004515530360009734
1.0,0.75,1.5,0.0003499885832951577,0.00034998858309620573
1.0,0.75,1.75,0.0002600047894816271,0.00026000478914056657
1.0,1.0,0.25,0.0008346939723651303,0.0008346939722230218
1.0,1.0,0.5,0.0007239342579197228,0.0007239342576355057
1.0,1.0,0.75,0.000605333881281922,0.0006053338812250786
1.0,1.0,1.0,0.000499555981548383,0.000499555981448907
1.0,1.0,1.25,0.0003906016190171613,0.00039060161903137214
1.0,1.0,1.5,0.00028771521122905597,0.00028771521101589315
1.0,1.0,1.75,0.00020585101427172958,0.00020585101439962727
1.0,1.25,0.25,0.0006992411923363306,0.0006992411919668484
1.0,1.25,0.5,0.0006253440050727477,0.0006253440051011694
1.0,1.25,0.75,0.0005264852872812753,0.0005264852872812753
1.0,1.25,1.0,0.0004168531649781926,0.00041685316489292745
1.0,1.25,1.25,0.0003084836759796872,0.000308483676292326
1.0,1.25,1.5,0.000214734004984507,0.00021473400489924188
1.0,1.25,1.75,0.00015666384749124518,0.00015666384746282347
1.0,1.5,0.25,0.0006014891973222802,0.0006014891973222802
1.0,1.5,0.5,0.0005149689888668263,0.0005149689889236697
1.0,1.5,0.75,0.0004076289280732226,0.00040762892837165055
1.0,1.5,1.0,0.00030368385488088734,0.00030368385496615247
1.0,1.5,1.25,0.00021217954379437742,0.00021217954352437118
1.0,1.5,1.5,0.00014782250191558433,0.00014782250175926492
1.0,1.5,1.75,0.0001250086613140411,0.00012500866142772793
1.0,1.75,0.25,0.00042457239172222216,0.00042457239169380045
1.0,1.75,0.5,0.000341406625850027,0.000341406625850027
1.0,1.75,0.75,0.00025523347058253876,0.0002552334705399062
1.0,1.75,1.0,0.00018198021774651352,0.00018198021733439873
1.0,1.75,1.25,0.00013073884612424536,0.00013073884612424536
1.0,1.75,1.5,0.00010935838841419354,0.00010935838815839816
1.0,1.75,1.75,0.00010944893577402581,0.00010944893580244752
1.25,0.25,0.25,0.0010206443207039229,0.0010206443207039229
1.25,0.25,0.5,0.0008865667070807604,0.0008865667068675975
1.25,0.25,0.75,0.0007028526422914183,0.0007028526420072012
1.25,0.25,1.0,0.0005536201952622832,0.0005536201954470243
1.25,0.25,1.25,0.00044309737920400494,0.00044309737873504673
1.25,0.25,1.5,0.00034091066353880706,0.0003409106633398551
1.25,0.25,1.75,0.0002514717952664114,0.0002514717949821943
1.25,0.5,0.25,0.0009216732164247787,0.000921673216296881
1.25,0.5,0.5,0.0007927307110549009,0.0007927307109554249
1.25,0.5,0.75,0.0006438495886413875,0.0006438495885277007
1.25,0.5,1.0,0.0005251313208560759,0.0005251313211829256
1.25,0.5,1.25,0.00041721683953710453,0.0004172168397644782
1.25,0.5,1.5,0.00031401167295541654,0.00031401167308331424
1.25,0.5,1.75,0.0002274324414486273,0.00022743244115019934
1.25,0.75,0.25,0.0007888372898605667,0.0007888372897184581
1.25,0.75,0.5,0.0006917399210948361,0.0006917399214785291
1.25,0.75,0.75,0.0005861942446472312,0.0005861942447609181
1.25,0.75,1.0,0.00048236212032293224,0.0004823621199250283
1.25,0.75,1.25,0.0003725511008383364,0.0003725511008383364
1.25,0.75,1.5,0.00027060714637627825,0.0002706071463904891
1.25,0.75,1.75,0.00019288968584874056,0.00019288968562136688
1.25,1.0,0.25,0.0006992411923363306,0.0006992411921942221
1.25,1.0,0.5,0.0006253440052574888,0.0006253440049306391
1.25,1.0,0.75,0.0005264852871960102,0.0005264852870965342
1.25,1.0,1.0,0.00041685316520556626,0.00041685316483608403
1.25,1.0,1.25,0.0003084836760365306,0.00030848367583757863
1.25,1.0,1.5,0.0002147340048281876,0.0002147340048281876
1.25,1.0,1.75,0.00015666384743440176,0.00015666384750545603
1.25,1.25,0.25,0.0006233686821559559,0.0006233686818859496
1.25,1.25,0.5,0.0005390247617498289,0.0005390247616645638
1.25,1.25,0.75,0.00043113328334243306,0.0004311332834561199
1.25,1.25,1.0,0.0003244360435985527,0.0003244360435417093
1.25,1.25,1.25,0.00022855763926088457,0.00022855763936036055
1.25,1.25,1.5,0.00015760711727352827,0.00015760711737300426
1.25,1.25,1.75,0.00012893237565947402,0.0001289323756310523
1.25,1.5,0.25,0.00048270464019140036,0.00048270463997823754
1.25,1.5,0.5,0.0003955660619965329,0.00039556606162705066
1.25,1.5,0.75,0.00030037899975354776,0.0003003789994977524
1.25,1.5,1.0,0.0002155582716909521,0.00021555827157726526
1.25,1.5,1.25,0.00015046291136400214,0.00015046291154874325
1.25,1.5,1.5,0.0001170918607584781,0.00011709186097164093
1.25,1.5,1.75,0.00011318395317516661,0.00011318395293358208
1.25,1.75,0.25,0.00029817430514356147,0.0002981743049446095
1.25,1.75,0.5,0.00023092014491510326,0.0002309201450003684
1.25,1.75,0.75,0.00017000222320007197,0.0001700022229726983
1.25,1.75,1.0,0.0001259476414219307,0.0001259476415782501
1.25,1.75,1.25,0.00010348992144315616,0.00010348992149999958
1.25,1.75,1.5,9.982314121259606e-05,9.98231408857464e-05
1.25,1.75,1.75,0.00010091078144114363,0.00010091078134166764
1.5,0.25,0.25,0.0007394991365430315,0.0007394991362730252
1.5,0.25,0.5,0.0006580662228543588,0.0006580662228827805
1.5,0.25,0.75,0.0005610545063632344,0.0005610545065053429
1.5,0.25,1.0,0.00045533945859688174,0.00045533945878162285
1.5,0.25,1.25,0.00034518326846466607,0.00034518326846466607
1.5,0.25,1.5,0.000245773198940924,0.0002457731986567069
1.5,0.25,1.75,0.0001756334137041904,0.00017563341380366637
1.5,0.5,0.25,0.000707621602273889,0.0007076216020465154
1.5,0.5,0.5,0.0006331539918704721,0.0006331539916146767
1.5,0.5,0.75,0.000535542978752801,0.0005355429786391142
1.5,0.5,1.0,0.0004267048208816959,0.00042670482071116567
1.5,0.5,1.25,0.00031765502662040035,0.0003176550263788158
1.5,0.5,1.5,0.0002222306810324426,0.00022223068089033404
1.5,0.5,1.75,0.00016098365634320544,0.00016098365634320544
1.5,0.75,0.25,0.000668579364585753,0.0006685793642304816
1.5,0.75,0.5,0.0005915682119308485,0.0005915682123287525
1.5,0.75,0.75,0.0004868767388472861,0.00048687673861991243
1.5,0.75,1.0,0.00037634835251765253,0.00037634835223343543
1.5,0.75,1.25,0.00027212404964416237,0.00027212404984311434
1.5,0.75,1.5,0.00018686271971546375,0.0001868627198291506
1.5,0.75,1.75,0.00014202533584750654,0.00014202533571960885
1.5,1.0,0.25,0.0006014891974075454,0.0006014891973507019
1.5,1.0,0.5,0.000514968988994724,0.0005149689889094589
1.5,1.0,0.75,0.00040762892814427687,0.0004076289284427048
1.5,1.0,1.0,0.0003036838548382548,0.00030368385480983306
1.5,1.0,1.25,0.00021217954368069059,0.00021217954366647973
1.5,1.0,1.5,0.0001478225019866386,0.00014782250187295176
1.5,1.0,1.75,0.00012500866135667366,0.0001250086611577217
1.5,1.25,0.25,0.0004827046401487678,0.0004827046401771895
1.5,1.25,0.5,0.00039556606201074374,0.0003955660617123158
1.5,1.25,0.75,0.0003003789996114392,0.00030037899944090896
1.5,1.25,1.0,0.0002155582719751692,0.00021555827180463893
1.5,1.25,1.25,0.00015046291119347188,0.00015046291159137581
1.5,1.25,1.5,0.00011709186101427349,0.00011709186102848435
1.5,1.25,1.75,0.00011318395297621464,0.00011318395300463635
1.5,1.5,0.25,0.000324805001241657,0.0003248050011848136
1.5,1.5,0.5,0.00025335557559458266,0.0002533555751398353
1.5,1.5,0.75,0.00018645469855016472,0.00018645469870648412
1.5,1.5,1.0,0.00013588704254630102,0.0001358870423615599
1.5,1.5,1.25,0.00010773413454501224,0.00010773413445974711
1.5,1.5,1.5,0.00010134967332930955,0.00010134967321562272
1.5,1.5,1.75,0.00010294727533732839,0.00010294727515258728
1.5,1.75,0.25,0.00018031450314026642,0.00018031450338185095
1.5,1.75,0.5,0.00013840340892556924,0.0001384034084992436
1.5,1.75,0.75,0.00010865212290411819,0.00010865212291832904
1.5,1.75,1.0,9.410238156704054e-05,9.410238132545601e-05
1.5,1.75,1.25,9.167794530640094e-05,9.167794539166607e-05
1.5,1.75,1.5,9.243117190749217e-05,9.243117189328132e-05
1.5,1.75,1.75,8.772528877898367e-05,8.77252884237123e-05
1.75,0.25,0.25,0.0006233686820564799,0.0006233686820280582
1.75,0.25,0.5,0.0005390247617356181,0.0005390247619061483
1.75,0.25,0.75,0.00043113328337085477,0.0004311332834276982
1.75,0.25,1.0,0.00032443604352749844,0.0003244360435417093
1.75,0.25,1.25,0.00022855763933193884,0.00022855763945983654
1.75,0.25,1.5,0.00015760711727352827,0.0001576071173303717
1.75,0.25,1.75,0.0001289323757305283,0.00012893237548894376
1.75,0.5,0.25,0.00058977391753956,0.0005897739175537708
1.75,0.5,0.5,0.0005024412796785782,0.0005024412797638433
1.75,0.5,0.75,0.00039573082584354324,0.00039573082550248273
1.75,0.5,1.0,0.00029338205092699354,0.0002933820508701501
1.75,0.5,1.25,0.0002042907647563652,0.0002042907648558412
1.75,0.5,1.5,0.00014335017127109495,0.00014335017117161897
1.75,0.5,1.75,0.00012327565735859025,0.00012327565745806623
1.75,0.75,0.25,0.0005249980541179866,0.00052499805417483
1.75,0.75,0.5,0.00043646501674743376,0.0004364650168895423
1.75,0.75,0.75,0.0003357961724930192,0.0003357961722940672
1.75,0.75,1.0,0.00024345113665447116,0.00024345113658341688
1.75,0.75,1.25,0.00016852120747046229,0.0001685212076267817
1.75,0.75,1.5,0.0001250629532307812,0.00012506295315972693
1.75,0.75,1.75,0.00011636935056458242,0.00011636935062142584
1.75,1.0,0.25,0.0004245723917790656,0.00042457239176485473
1.75,1.0,0.5,0.00034140662602055727,0.0003414066256368642
1.75,1.0,0.75,0.00025523347076727987,0.0002552334705967496
1.75,1.0,1.0,0.00018198021754756155,0.00018198021729176617
1.75,1.0,1.25,0.0001307388459537151,0.00013073884625214305
1.75,1.0,1.5,0.00010935838832892841,0.00010935838824366328
1.75,1.0,1.75,0.00010944893588771265,0.00010944893573139325
1.75,1.25,0.25,0.00029817430527145916,0.0002981743047882901
1.75,1.25,0.5,0.00023092014451719933,0.00023092014461667532
1.75,1.25,0.75,0.00017000222317165026,0.00017000222307217427
1.75,1.25,1.0,0.00012594764137929815,0.00012594764135087644
1.75,1.25,1.25,0.00010348992158526471,0.00010348992149999958
1.75,1.25,1.5,9.982314116996349e-05,9.982314080048127e-05
1.75,1.25,1.75,0.00010091078127061337,0.00010091078144114363
1.75,1.5,0.25,0.00018031450343869437,0.00018031450343869437
1.75,1.5,0.5,0.00013840340886872582,0.00013840340871240642
1.75,1.5,0.75,0.0001086521227762205,0.00010865212257726853
1.75,1.5,1.0,9.410238149598626e-05,9.410238136808857e-05
1.75,1.5,1.25,9.167794522113581e-05,9.167794523534667e-05
1.75,1.5,1.5,9.243117207802243e-05,9.243117241908294e-05
1.75,1.5,1.75,8.772528875056196e-05,8.772528877898367e-05
1.75,1.75,0.25,0.0001135117586557044,0.00011351175857043927
1.75,1.75,0.5,9.467832545340116e-05,9.467832549603372e-05
1.75,1.75,0.75,8.631147954929475e-05,8.631147969140329e-05
1.75,1.75,1.0,8.515022429378405e-05,8.51502244643143e-05
1.75,1.75,1.25,8.478960235436261e-05,8.478960242541689e-05
1.75,1.75,1.5,7.961031118952633e-05,7.961031109005035e-05
1.75,1.75,1.75,6.999502619464693e-05,6.999502606674923e-05
