Delta_E_AB_AB,BSSE_A,BSSE_B,distance
0.37129208491793975,0.003659146242313227,0.003659153024159423,1.5
0.07594907374826221,0.0019647835082281517,0.0019648050301128706,2.0
0.017872286037317053,0.0007603589673266242,0.0007603996912592947,2.5
0.0057573242476962605,0.00029918450965737975,0.000299178845921233,3.0
0.0026356818696058326,0.00016136407683120524,0.0001613665143338494,3.5
0.0015471665209076946,9.143683982415496e-05,9.143998974536771e-05,4.0
0.0010387500238664416,5.4855526556707446e-05,5.485566215668314e-05,4.5
0.0007430072645320251,3.0338215722736095e-05,3.033950680730868e-05,5.0
0.0005508548256614176,1.645566159425016e-05,1.6454617096428592e-05,5.5
